,model,337-361055,337-361060,337-361061,337-361062,337-361063,337-361065,337-361066,337-361068,337-361069,337-361070,337-361273,337-361274,337-361275,337-361276,337-361277,337-361278,mean
0,CatBoost,0.8532968567569424,,0.88591264,,,,0.8570560163260735,,,,0.6377872800000001,,0.7616625991314113,,0.93574704,,0.8219104053690713
1,LCN,0.8054135093061057,0.78898224,0.7349876399999999,0.6066393689536834,0.8607324959297769,0.8353158946395458,0.7953003406788095,0.93751744,0.65138796,0.5763679496152703,0.6218024,0.7785138,0.7162023972116219,0.6437696051919957,0.8712869599999999,0.75307712,0.7485810700954256
2,LGBM,0.8561456926352419,,0.83248288,,,,0.8729733095892258,,,,0.64219984,,0.7643160345909448,,0.9416680799999999,,0.8182976394692354
3,LLN,0.8571754309654083,0.8746074399999999,0.84971376,0.9226555714942448,0.9420241216127793,0.9192724132059706,0.8597018046321577,0.97982272,0.7636824,0.5831030704300415,0.6373344000000001,0.83826096,0.7588836314315289,0.760538128718226,0.9306416399999999,0.79761248,0.8296893732806472
4,Mlp_relu,0.8574732721320483,0.89222092,0.87911456,0.9887189402567478,0.9450467108234867,0.9210120318330625,0.8622961740335674,0.9801196400000001,0.77093104,0.5912170044040199,0.63542976,0.83725776,0.7596277414987787,0.8094537587885343,0.9445855999999999,0.7969352000000001,0.8419650071106404
5,Mlp_sigm,0.8570128888990637,0.8772752,0.8447256,0.9756087744266002,0.948614224462428,0.9285262041848859,0.8588842440478333,0.98067328,0.73339228,0.5865948843488674,0.6368314399999999,0.83651856,0.7506028635884199,0.820373174689021,0.9318072,0.79686432,0.8352690711654449
6,SK_decisionTree,0.7826856070144914,,0.7859293599999999,,,,0.7635584510112099,,,,0.5711968,,0.6353224834237492,,0.8564518400000001,,0.732524090241575
7,SK_gradBoost,0.8323765481559489,,0.6842431199999999,,,,0.8506295102235065,,,,0.6275231200000001,,0.7371589238162819,,0.90058624,,0.7720862436992897
8,SK_histGradBoost,0.8565077493647124,,0.8110948800000001,,,,0.8518627069539498,,,,0.6412188000000001,,0.7462430253306257,,0.94030528,,0.8078720736082146
9,SK_randomForest,0.8540859870424212,,0.8972634399999999,,,,0.8704843489423988,,,,0.53716896,,0.7546362453543078,,0.88079344,,0.7990720702231879
10,XGBoost,0.8320013278084293,,0.8581308799999999,,,,0.843853355569153,,,,0.6027509600000001,,0.7294006316942202,,0.9319639999999999,,0.7996835258453004
